seq,cum_dist,elev,gradient_pct,gradient_smooth,x,y
262,1156.9,129.22328186035156,-105.9,-19.23,1570487.152880665,5173253.6097835135
263,1161.9,139.6775665283203,209.09,13.07,1570487.9894613295,5173248.680267028
264,1166.9,146.4888916015625,136.23,2.43,1570488.8260419944,5173243.750750541
265,1171.9,147.4269256591797,18.76,31.91,1570489.6626226592,5173238.821234054
266,1176.7,134.3639678955078,-274.17,-6.53,1570490.4598000003,5173234.1239
267,1181.7,135.45623779296875,21.85,50.08,1570487.5379770598,5173230.066443814
268,1183.5,141.11483764648438,303.43,59.71,1570486.4482000005,5173228.5531
269,1188.5,134.47930908203125,-132.71,35.78,1570481.5168649855,5173229.37889354
270,1190.1,138.35958862304688,249.94,27.05,1570479.9857,5173229.6353
271,1195.1,146.31593322753906,159.13,15.75,1570477.5733090015,5173234.014839892
272,1200.1,144.57940673828125,-34.73,57.39,1570475.160918003,5173238.394379785
273,1200.2,144.57940673828125,0.0,64.39,1570475.1034000004,5173238.4988
274,1205.2,141.87281799316406,-54.13,22.39,1570475.0814150998,5173243.498751666
275,1210.2,143.8813934326172,40.17,40.12,1570475.059430199,5173248.498703333
276,1213.5,140.3709259033203,-105.5,2.32,1570475.0448000003,5173251.826
277,1218.5,149.56292724609375,183.84,-45.41,1570473.5086681407,5173256.584182312
278,1223.5,154.50453186035156,98.83,-7.5,1570471.9725362812,5173261.342364623
279,1228.5,146.57662963867188,-158.56,-12.84,1570470.4364044217,5173266.100546935
280,1232.2,148.85000610351562,62.34,-45.0,1570469.3161000004,5173269.5707
281,1237.2,140.5589141845703,-165.82,-171.58,1570465.0389850177,5173272.160350058
282,1240.7,127.69295501708984,-365.98,-167.42,1570462.0318,5173273.9811
283,1245.3,145.30392456054688,382.27,-183.85,1570458.0055,5173271.7421
284,1250.3,142.3689727783203,-58.7,-154.17,1570456.4895131497,5173266.977461098
285,1255.3,121.9733657836914,-407.91,-130.29,1570454.9735262997,5173262.212822195
286,1255.8,115.1577377319336,-1352.18,-174.52,1570454.8207,5173261.7325
287,1260.8,112.16976165771484,-59.76,-126.35,1570456.2376813102,5173256.93748551
288,1265.8,112.3253402709961,3.11,-87.56,1570457.6546626203,5173252.142471018
289,1270.8,133.59176635742188,425.33,-127.12,1570459.0716439304,5173247.347456528
290,1273.2,136.03598022460938,104.06,-118.66,1570459.7373000002,5173245.0949
291,1278.2,114.82637023925781,-424.19,-92.65,1570460.3148082397,5173240.128363557
292,1283.2,133.0321044921875,364.11,36.54,1570460.8923164792,5173235.161827115
293,1287.7,135.781005859375,60.71,40.26,1570461.4153000005,5173230.6642
294,1292.7,133.13331604003906,-52.95,34.66,1570458.9211297128,5173226.330712424
295,1294.1,133.6224365234375,34.36,-4.77,1570458.2110000001,5173225.0969
296,1299.0,127.72672271728516,-121.73,-14.6,1570453.3678000001,5173225.0756
297,1304.0,131.16893005371094,68.84,25.12,1570451.2589366953,5173229.609108086
298,1309.0,130.22891235351562,-18.8,-47.06,1570449.1500733902,5173234.142616171
299,1314.0,127.30530548095703,-58.47,-21.69,1570447.0412100854,5173238.676124256
300,1319.0,126.88267517089844,-8.45,-42.38,1570444.9323467803,5173243.209632342
301,1324.0,126.68091583251953,-4.04,-47.98,1570442.8234834755,5173247.743140427
302,1329.0,127.31897735595703,12.76,-7.59,1570440.7146201704,5173252.276648513
303,1334.0,105.82479095458984,-429.88,-5.75,1570438.6057568656,5173256.810156599
304,1339.0,122.81440734863281,339.79,2.54,1570436.4968935605,5173261.343664684
305,1344.0,108.78443145751953,-280.6,8.08,1570434.3880302557,5173265.877172769
306,1349.0,107.42689514160156,-27.15,-34.61,1570432.2791669508,5173270.410680855
307,1354.0,123.55426025390625,322.55,-45.3,1570430.1703036458,5173274.94418894
308,1358.9,127.91289520263672,89.0,-5.31,1570428.1047,5173279.3847
309,1363.9,131.5325469970703,72.39,42.37,1570427.6303979934,5173284.362152924
310,1367.8,131.63211059570312,2.54,0.36,1570427.2583999997,5173288.266
311,1372.8,107.72624206542969,-478.12,17.65,1570428.9454217302,5173292.972799091
312,1377.2,102.31401062011719,-121.53,45.04,1570430.4479999999,5173297.165
313,1382.2,124.94320678710938,452.58,-16.71,1570434.0133681856,5173300.670445721
314,1387.2,129.67596435546875,94.66,-7.9,1570437.5787363714,5173304.175891441
