seq,cum_dist,elev,gradient_50m,x,y
230,1012.3,127.78697204589844,6.8,1570606.063949246,5173319.424528581
231,1017.3,129.40438842773438,9.2,1570601.5027738689,5173317.3761928715
232,1022.3,130.6940460205078,10.2,1570596.9415984917,5173315.327857162
233,1027.3,132.1968231201172,13.5,1570592.3804231146,5173313.279521452
234,1029.6,132.94320678710938,11.6,1570590.2115000002,5173312.3055
235,1034.6,133.33908081054688,8.6,1570585.3033107053,5173311.351729669
236,1039.6,133.52926635742188,5.8,1570580.3951214103,5173310.397959338
237,1044.6,133.48690795898438,1.0,1570575.4869321154,5173309.444189006
238,1049.6,133.3303985595703,-3.0,1570570.5787428203,5173308.490418674
239,1053.5,133.19805908203125,-6.2,1570566.8219999997,5173307.7604
240,1058.5,132.79269409179688,-8.2,1570562.2086464656,5173305.832455714
241,1063.5,131.7959747314453,-6.3,1570557.5952929317,5173303.904511428
242,1068.5,131.0462646484375,-5.4,1570552.9819393975,5173301.976567142
243,1073.5,129.9847412109375,-3.3,1570548.3685858634,5173300.048622856
244,1078.5,129.00735473632812,-5.1,1570543.7552323295,5173298.12067857
245,1083.5,128.53857421875,-6.5,1570539.1418787953,5173296.192734284
246,1088.4,129.09165954589844,-6.2,1570534.5921999998,5173294.2914
247,1093.4,129.6288604736328,-4.8,1570530.5877342324,5173291.297363608
248,1098.4,130.3549041748047,-4.2,1570526.583268465,5173288.303327216
249,1101.4,131.60435485839844,-2.6,1570524.1327,5173286.4711
250,1106.4,130.4804229736328,-1.2,1570519.1741315539,5173285.828761331
251,1110.4,129.43365478515625,-2.4,1570515.2582999999,5173285.3215
252,1115.4,129.273681640625,-4.9,1570510.5718808253,5173283.578664574
253,1120.4,129.04393005371094,-3.8,1570505.8854616508,5173281.835829148
254,1123.3,128.4466094970703,-3.8,1570503.1698000003,5173280.8259
255,1128.3,128.5630340576172,-4.5,1570499.6386137581,5173277.2860237695
256,1133.3,128.32823181152344,-4.9,1570496.1074275158,5173273.7461475395
257,1138.3,127.20063781738281,-4.1,1570492.5762412737,5173270.20627131
258,1143.3,126.42449188232422,-5.3,1570489.0450550313,5173266.66639508
259,1143.8,126.0407943725586,-5.3,1570488.7037000004,5173266.3242
260,1148.8,127.50171661376953,-4.4,1570487.2377330023,5173261.543934237
261,1151.9,127.91368103027344,-5.6,1570486.3163,5173258.5393
262,1156.9,129.07923889160156,-6.3,1570487.152880665,5173253.6097835135
263,1161.9,127.74383544921875,-10.5,1570487.9894613295,5173248.680267028
264,1166.9,127.1406021118164,-12.1,1570488.8260419944,5173243.750750541
265,1171.9,126.29401397705078,-10.6,1570489.6626226592,5173238.821234054
266,1176.7,126.11569213867188,-12.6,1570490.4598000003,5173234.1239
267,1181.7,125.18905639648438,-12.6,1570487.5379770598,5173230.066443814
268,1183.5,125.10861206054688,-16.0,1570486.4482000005,5173228.5531
269,1188.5,122.55046081542969,-12.5,1570481.5168649855,5173229.37889354
270,1190.1,120.54048156738281,-12.7,1570479.9857,5173229.6353
271,1195.1,120.32756042480469,-12.8,1570477.5733090015,5173234.014839892
272,1200.1,120.08881378173828,-11.9,1570475.160918003,5173238.394379785
273,1200.2,120.08881378173828,-11.9,1570475.1034000004,5173238.4988
274,1205.2,120.37200927734375,-13.1,1570475.0814150998,5173243.498751666
275,1210.2,120.56694793701172,-15.9,1570475.059430199,5173248.498703333
276,1213.5,121.28701782226562,-14.6,1570475.0448000003,5173251.826
277,1218.5,120.5795669555664,-11.1,1570473.5086681407,5173256.584182312
278,1223.5,119.90362548828125,-12.5,1570471.9725362812,5173261.342364623
279,1228.5,119.53199768066406,-14.7,1570470.4364044217,5173266.100546935
280,1232.2,118.8636245727539,-14.8,1570469.3161000004,5173269.5707
281,1237.2,116.58808135986328,-14.8,1570465.0389850177,5173272.160350058
282,1240.7,114.92964935302734,-17.1,1570462.0318,5173273.9811
283,1245.3,114.43106079101562,-14.1,1570458.0055,5173271.7421
284,1250.3,113.40359497070312,-14.5,1570456.4895131497,5173266.977461098
285,1255.3,112.01097106933594,-15.9,1570454.9735262997,5173262.212822195
286,1255.8,112.09971618652344,-15.9,1570454.8207,5173261.7325
287,1260.8,112.1409683227539,-16.2,1570456.2376813102,5173256.93748551
288,1265.8,112.33677673339844,-14.0,1570457.6546626203,5173252.142471018
289,1270.8,113.21530151367188,-17.5,1570459.0716439304,5173247.347456528
290,1273.2,112.44245147705078,-17.5,1570459.7373000002,5173245.0949
